Date,Open,High,Low,Close,Volume,Count,WAP
20230322 13:22:55 America/Los_Angeles,27116.875,27116.875,27116.875,27116.875,-1,-1,-1
20230322 13:23:00 America/Los_Angeles,27116.875,27119.0,27116.875,27119.0,-1,-1,-1
20230322 13:23:05 America/Los_Angeles,27119.0,27132.125,27119.0,27132.125,-1,-1,-1
20230322 13:23:10 America/Los_Angeles,27132.125,27144.75,27132.125,27134.375,-1,-1,-1
20230322 13:23:15 America/Los_Angeles,27134.375,27137.375,27128.875,27137.375,-1,-1,-1
20230322 13:23:20 America/Los_Angeles,27137.375,27137.375,27135.25,27135.25,-1,-1,-1
20230322 13:23:25 America/Los_Angeles,27135.25,27135.25,27133.375,27133.375,-1,-1,-1
20230322 13:23:30 America/Los_Angeles,27133.375,27133.375,27120.625,27120.75,-1,-1,-1
20230322 13:23:35 America/Los_Angeles,27120.75,27120.875,27111.625,27115.875,-1,-1,-1
20230322 13:23:40 America/Los_Angeles,27115.875,27116.125,27113.25,27116.125,-1,-1,-1
20230322 13:23:45 America/Los_Angeles,27116.125,27119.375,27116.125,27119.375,-1,-1,-1
20230322 13:23:50 America/Los_Angeles,27119.375,27145.125,27119.375,27145.125,-1,-1,-1
20230322 13:23:55 America/Los_Angeles,27145.125,27156.125,27145.125,27156.125,-1,-1,-1
20230322 13:24:00 America/Los_Angeles,27156.125,27156.125,27156.125,27156.125,-1,-1,-1
20230322 13:24:05 America/Los_Angeles,27156.125,27156.125,27139.625,27139.625,-1,-1,-1
20230322 13:24:10 America/Los_Angeles,27139.625,27140.625,27139.25,27140.625,-1,-1,-1
20230322 13:24:15 America/Los_Angeles,27140.625,27148.25,27134.875,27138.125,-1,-1,-1
20230322 13:24:20 America/Los_Angeles,27138.125,27138.125,27137.5,27137.625,-1,-1,-1
20230322 13:24:25 America/Los_Angeles,27137.625,27137.625,27137.0,27137.0,-1,-1,-1
